Electoral_District,Electoral_District_Name,Polling_Station_Number,Polling_Station_Name,Electors_for_Polling_Station,Candidate_Family_Name,Candidate_Middle_Name,Candidate_First_Name,Political_Affiliation_Name_English,Incumbent_Indicator,Elected_Candidate_Indicator,Candidate_Poll_Votes_Count
35001,Ajax,20,Ajax,430,Brown,,Stephanie,NDP-New Democratic Party,N,N,9
35001,Ajax,20,Ajax,430,Hill,,Jeff,Green Party,N,N,0
35001,Ajax,20,Ajax,430,Holland,,Mark,Liberal,N,Y,143
35001,Ajax,20,Ajax,430,Kesic,,Bob,United Party,N,N,0
35001,Ajax,21,Ajax,396,Alexander,,Chris,Conservative,Y,N,60
35001,Ajax,21,Ajax,396,Brown,,Stephanie,NDP-New Democratic Party,N,N,17
35001,Ajax,21,Ajax,396,Hill,,Jeff,Green Party,N,N,2
35001,Ajax,21,Ajax,396,Holland,,Mark,Liberal,N,Y,113
35001,Ajax,21,Ajax,396,Kesic,,Bob,United Party,N,N,0
35001,Ajax, 22A,Ajax,378,Alexander,,Chris,Conservative,Y,N,46
35001,Ajax, 22A,Ajax,378,Brown,,Stephanie,NDP-New Democratic Party,N,N,17
35001,Ajax, 22A,Ajax,378,Hill,,Jeff,Green Party,N,N,4
35001,Ajax, 22A,Ajax,378,Holland,,Mark,Liberal,N,Y,128
35001,Ajax, 22A,Ajax,378,Kesic,,Bob,United Party,N,N,0
35001,Ajax, 22B,Ajax,365,Alexander,,Chris,Conservative,Y,N,55
35001,Ajax, 22B,Ajax,365,Brown,,Stephanie,NDP-New Democratic Party,N,N,13
35001,Ajax, 22B,Ajax,365,Hill,,Jeff,Green Party,N,N,1
35001,Ajax, 22B,Ajax,365,Holland,,Mark,Liberal,N,Y,95
35001,Ajax, 22B,Ajax,365,Kesic,,Bob,United Party,N,N,0
35001,Ajax,23,Ajax,429,Alexander,,Chris,Conservative,Y,N,81
35001,Ajax,23,Ajax,429,Brown,,Stephanie,NDP-New Democratic Party,N,N,20
35001,Ajax,23,Ajax,429,Hill,,Jeff,Green Party,N,N,1
35001,Ajax,23,Ajax,429,Holland,,Mark,Liberal,N,Y,123
35001,Ajax,23,Ajax,429,Kesic,,Bob,United Party,N,N,0
35001,Ajax,24,Ajax,482,Alexander,,Chris,Conservative,Y,N,82
35001,Ajax,24,Ajax,482,Brown,,Stephanie,NDP-New Democratic Party,N,N,19
35001,Ajax,24,Ajax,482,Hill,,Jeff,Green Party,N,N,3
35001,Ajax,24,Ajax,482,Holland,,Mark,Liberal,N,Y,143
35001,Ajax,24,Ajax,482,Kesic,,Bob,United Party,N,N,0
35001,Ajax,25,Ajax,503,Alexander,,Chris,Conservative,Y,N,53
35001,Ajax,25,Ajax,503,Brown,,Stephanie,NDP-New Democratic Party,N,N,15
35001,Ajax,25,Ajax,503,Hill,,Jeff,Green Party,N,N,4
35001,Ajax,25,Ajax,503,Holland,,Mark,Liberal,N,Y,154
35001,Ajax,25,Ajax,503,Kesic,,Bob,United Party,N,N,0
35001,Ajax,26,Ajax,481,Alexander,,Chris,Conservative,Y,N,62
35001,Ajax,26,Ajax,481,Brown,,Stephanie,NDP-New Democratic Party,N,N,16
35001,Ajax,26,Ajax,481,Hill,,Jeff,Green Party,N,N,1
35001,Ajax,26,Ajax,481,Holland,,Mark,Liberal,N,Y,124
35001,Ajax,26,Ajax,481,Kesic,,Bob,United Party,N,N,0
35001,Ajax,27,Ajax,559,Alexander,,Chris,Conservative,Y,N,55
35001,Ajax,27,Ajax,559,Brown,,Stephanie,NDP-New Democratic Party,N,N,26
35001,Ajax,27,Ajax,559,Hill,,Jeff,Green Party,N,N,2
35001,Ajax,27,Ajax,559,Holland,,Mark,Liberal,N,Y,127
